Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Sector Affected,Provider,Launch Type,Explosive Weapon Type,Reported Perpetrator,Reported Perpetrator Name,Affected
2024-07-20,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2024-07-19,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Health Care,Private Health Care,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2024-07-11,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Health Care,Other,Unspecified Launch Method,Unspecified Explosive,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2024-06-24,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Aid Operations,Government Aid Agency,Ground-Launched,Mortar,Foreign Forces: Military,Israeli Defence Forces,Other
2024-06-17,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,"Health Care, Aid Operations",LNGO,Ground-Launched,Artillery,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2024-06-13,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Health Care,Other,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2024-06-12,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Health Care,Local Health Care Provider,Air-Launched: Drone,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2024-06-10,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Health Care,Private Health Care,Unspecified Launch Method,Unspecified Explosive,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2024-06-10,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Health Care,Other,Unspecified Launch Method,Unspecified Explosive,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2024-06-10,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Health Care,Other,Unspecified Launch Method,Unspecified Explosive,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2024-06-10,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Health Care,Other,Unspecified Launch Method,Unspecified Explosive,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2024-06-10,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Health Care,Other,Unspecified Launch Method,Unspecified Explosive,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2024-06-08,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Health Care,Other,Unspecified Launch Method,Unspecified Explosive,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2024-06-06,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2024-06-03,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Health Care,Private Health Care,Air-Launched: No Information on Platform Type,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Private/Voluntary Aid
2024-06-03,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Health Care,Other,Air-Launched: No Information on Platform Type,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2024-06-02,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2024-06-01,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Health Care,Local Health Care Provider,Ground-Launched,Shelling,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
